yourlist:M202202115BF3C56A578D7D6DFD1FC81EE5DA77304059810	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
AAY81299	Q4J7C7	Q4J7C7_SULAC	unreviewed	ABC transporter, ATPase component	Saci_2000	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	270
AAY79640	Q4JC39	Q4JC39_SULAC	unreviewed	Molybdopterin-binding domain protein	moaB Saci_0221	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	178
AAY80829	Q4J8Q2	Y1508_SULAC	reviewed	Protein Saci_1508	Saci_1508	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	264
AAY79531	Q4JCE8	Q4JCE8_SULAC	unreviewed	Molybdopterin biosynthesis protein	moeA Saci_0106	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	389
AAY80335	Q4JA45	Q4JA45_SULAC	unreviewed	Molybdopterin biosynthesis protein	Saci_0973	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	541
AAY81013	Q4J866	Q4J866_SULAC	unreviewed	Conserved protein	Saci_1707	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	377
AAY81073	Q4J809	Q4J809_SULAC	unreviewed	Fumarylacetoacetate (FAA) hydrolase	Saci_1767	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	307
AAY81442	Q4J6Y6	Q4J6Y6_SULAC	unreviewed	Fumarylacetoacetate (FAA) hydrolase	Saci_2149	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	315
AAY81579	Q4J6K3	Q4J6K3_SULAC	unreviewed	4-hydroxyphenylacetate degradation bifunctionali somerase/decarboxylase	Saci_2293	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	280
AAY81242	Q4J7I6	Q4J7I6_SULAC	unreviewed	Conserved protein	Saci_1939	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	292
AAY81145	Q4J7T3	Q4J7T3_SULAC	unreviewed	Membrane protein	Saci_1839	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	552
AAY80944	Q4J8D5	Q4J8D5_SULAC	unreviewed	3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)	paaF Saci_1633	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	257
AAY81078	Q4J803	Q4J803_SULAC	unreviewed	3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)	crt Saci_1772	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	267
AAY81357	Q4J774	Q4J774_SULAC	unreviewed	Enoyl-CoA hydratase (EC 4.2.1.-)	Saci_2063	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	254
AAY81571	Q4J6L0	Q4J6L0_SULAC	unreviewed	Enoyl-CoA hydratase/isomerase	paaF Saci_2285	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	247
AAY81572	Q4J6K9	Q4J6K9_SULAC	unreviewed	Enoyl-CoA hydratase/isomerase	paaF Saci_2286	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	256
AAY79601	Q4JC78	Q4JC78_SULAC	unreviewed	Chorismate mutase/prephenate dehydrogenase (EC 5.4.99.5)	Saci_0182	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	341
AAY79663	P11386	MDH_SULAC	reviewed	Malate dehydrogenase (EC 1.1.1.37)	mdh Saci_0246	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	306
AAY79801	Q4JBM8	Q4JBM8_SULAC	unreviewed	3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)	Saci_0385	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	287
AAY80435	Q4J9U3	Q4J9U3_SULAC	unreviewed	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	Saci_1078	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	396
AAY80461	Q4J9R9	Q4J9R9_SULAC	unreviewed	Enoyl-CoA hydratase (EC 4.2.1.17)	Saci_1109	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	663
AAY80486	Q4J9P5	Q4J9P5_SULAC	unreviewed	Enoyl-CoA hydratase (EC 4.2.1.17)	Saci_1134	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	662
AAY81494	Q4J6T7	Q4J6T7_SULAC	unreviewed	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.35)	Saci_2208	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	657
AAY81504	Q4J6S7	Q4J6S7_SULAC	unreviewed	Conserved 3-hydroxybutyryl-CoA	Saci_2218	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	639
AAY80935	Q4J8E5	Q4J8E5_SULAC	unreviewed	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.-)	Saci_1623	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	320
AAY80091	Q4JAT8	Q4JAT8_SULAC	unreviewed	Prephenate dehydratase (EC 4.2.1.51)	Saci_0712	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	173
AAY81414	Q4J711	XYLH_SULAC	reviewed	Xylose/arabinose import permease protein XylH	xylH Saci_2121	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	356
AAY80549	Q4J9I1	Q4J9I1_SULAC	unreviewed	Conserved protein	Saci_1202	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	200
AAY80446	Q4J9T4	Q4J9T4_SULAC	unreviewed	Conserved membrane protein	Saci_1092	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	286
AAY81125	Q4J7V6	Q4J7V6_SULAC	unreviewed	Conserved Crenarchaeal protein	Saci_1819	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	271
AAY81431	Q4J714	Q4J714_SULAC	unreviewed	Archaeal membrane protein	Saci_2138	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	275
CAE51870	F2Z5Z6	HERA_SULAC	reviewed	DNA double-strand break repair helicase HerA (EC 3.6.4.12) (Helicase repair of Archaea)	herA P4 Saci_0053	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	495
AAY79878	Q4JBF1	Q4JBF1_SULAC	unreviewed	Uncharacterized protein	Saci_0472	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	644
AAY79847	Q4JBI2	Q4JBI2_SULAC	unreviewed	DNA helicase (EC 3.6.4.12)	Saci_0435	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	585
AAY79568	Q4JCB1	Q4JCB1_SULAC	unreviewed	Conserved Archaeal protein	Saci_0147	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	605
AAY80480	Q4J9Q0	Q4J9Q0_SULAC	unreviewed	Conserved Archaeal protein	Saci_1128	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	550
AAY80182	Q4JAJ7	Q4JAJ7_SULAC	unreviewed	DNA helicase (EC 3.6.4.12)	Saci_0815	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	446
AAY80051	Q4JAX8	Q4JAX8_SULAC	unreviewed	DNA helicase (EC 3.6.4.12)	Saci_0667	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	546
AAY79569	Q4JCB0	Q4JCB0_SULAC	unreviewed	Conserved Archaeal protein	Saci_0148	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	362
AAY80481	Q4J9P9	Q4J9P9_SULAC	unreviewed	Conserved Crenarchaeal protein	Saci_1129	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	410
AAY79667	Q4JC12	Q4JC12_SULAC	unreviewed	NADH dehydrogenase (EC 1.-.-.-)	Saci_0250	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	221
AAY79925	Q4JBA4	Q4JBA4_SULAC	unreviewed	Conserved Archaeal membrane protein	Saci_0525	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	231
AAY80740	Q4J8Y9	Q4J8Y9_SULAC	unreviewed	Conserved Archaeal protein	Saci_1410	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	223
AAY80007	Q4JB22	Q4JB22_SULAC	unreviewed	Conserved RNase_P_p30-like protein	Saci_0615	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	183
AAY79487	Q4JCJ2	Q4JCJ2_SULAC	unreviewed	Conserved Archaeal 2-cys peroxiredoxin	bas1 Saci_0058	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	153
AAY80477	Q4J9Q3	Q4J9Q3_SULAC	unreviewed	Peroxiredoxin (EC 1.11.1.-)	Saci_1125	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	158
AAY81513	Q4J6R7	Q4J6R7_SULAC	unreviewed	Universally conserved protein	Saci_2227	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	155
AAY81630	Q4J6F1	Q4J6F1_SULAC	unreviewed	Uncharacterized protein	Saci_2348	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	111
AAY80720	Q4J910	Q4J910_SULAC	unreviewed	Conserved Archaeal protein	Saci_1387	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	333
AAY80913	Q4J8G9	Q4J8G9_SULAC	unreviewed	Conserved Archaeal protein	Saci_1600	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	336
AAY80374	Q4JA01	Q4JA01_SULAC	unreviewed	Conserved Prokaryal protein	Saci_1017	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	432
AAY80949	Q4J8D3	Q4J8D3_SULAC	unreviewed	Conserved Archaeal protein	Saci_1638	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	448
AAY80375	Q4J9Z9	Q4J9Z9_SULAC	unreviewed	Conserved Archaeal protein	Saci_1018	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	419
AAY80950	Q4J8D2	Q4J8D2_SULAC	unreviewed	Conserved Archaeal protein	Saci_1639	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	415
AAY79654	Q4JC25	Q4JC25_SULAC	unreviewed	Conserved Archaeal protein	Saci_0237	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	324
AAY79632	Q4JC47	Q4JC47_SULAC	unreviewed	Acetoin utilization protein AcuC	Saci_0213	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	346
AAY80373	Q4JA06	Q4JA06_SULAC	unreviewed	Conserved protein	Saci_1016	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	326
AAY79501	Q4JCH8	Q4JCH8_SULAC	unreviewed	DNA-directed DNA polymerase (EC 2.7.7.7)	Saci_0074	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	782
AAY80976	Q4J8A5	Q4J8A5_SULAC	unreviewed	Conserved Archaeal protein	Saci_1666	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	286
AAY79624	Q4JC55	Q4JC55_SULAC	unreviewed	Conserved protein	Saci_0205	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	322
AAY80977	Q4J8A4	Q4J8A4_SULAC	unreviewed	Conserved Archaeal 4Fe-4S binding domain protein	Saci_1667	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	388
AAY79625	Q4JC54	Q4JC54_SULAC	unreviewed	Glycolate oxidase subunit (EC 1.-.-.-)	glcD Saci_0206	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	458
AAY79715	Q4JBW4	Q4JBW4_SULAC	unreviewed	D-lactate dehydrogenase (EC 1.1.2.4)	dld Saci_0299	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	440
AAY80535	Q4J9J5	Q4J9J5_SULAC	unreviewed	Alkyldihydroxyacetonephosphate synthase (EC 2.5.1.26)	Saci_1188	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	453
AAY79741	Q4JBT8	Q4JBT8_SULAC	unreviewed	Heterodisulfide reductase B (EC 1.-.-.-)	hdrB Saci_0325	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	303
AAY80341	F2Z6A8	F2Z6A8_SULAC	unreviewed	Succinate dehydrogenase subunit C	sdhC Saci_0980	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	290
AAY81190	Q4J7P1	Q4J7P1_SULAC	unreviewed	Alkyldihydroxyacetonephosphate synthase (EC 2.5.1.26)	Saci_1885	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	415
AAY79745	Q4JBT4	Q4JBT4_SULAC	unreviewed	Conserved protein	Saci_0329	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	438
AAY81559	Q4J6M2	Q4J6M2_SULAC	unreviewed	Conserved cysteine-rich domain protein	Saci_2273	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	397
AAY79626	Q4JC53	Q4JC53_SULAC	unreviewed	FAD-binding domain protein	Saci_0207	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	320
AAY80536	Q4J9J4	Q4J9J4_SULAC	unreviewed	Conserved protein	Saci_1189	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	286
AAY80042	Q4JAY7	Q4JAY7_SULAC	unreviewed	Conserved Archaeal protein	Saci_0658	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	240
AAY80718	Q4J913	Q4J913_SULAC	unreviewed	Conserved Archaeal protein	Saci_1385	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	248
AAY80876	Q4J8K3	Q4J8K3_SULAC	unreviewed	GTP-binding protein	Saci_1563	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	259
AAY80918	Q4J8G1	Q4J8G1_SULAC	unreviewed	Conserved GTP-binding protein	Saci_1605	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	328
AAO73477	Q877H7	Q877H7_9CREN	unreviewed	GTPase HflX (Putative GTP-binding protein)	hflx ATY89_03130 ATZ20_06155	Sulfolobus acidocaldarius	352
AAY80010	Q4JB19	Q4JB19_SULAC	unreviewed	GTPase (EC 3.6.1.-)	Saci_0618	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	400
AAY80319	Q4JA61	Q4JA61_SULAC	unreviewed	GTPase-like protein	Saci_0957	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	360
CAD26846	F2Z6F6	NURA_SULAC	reviewed	DNA double-strand break repair nuclease NurA (EC 3.1.-.-) (Nuclease repair of Archaea)	nurA p39 Saci_0050	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	332
CAD26845	O33600	RAD50_SULAC	reviewed	DNA double-strand break repair Rad50 ATPase	rad50 Saci_0051	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	886
AAY79476	Q4JCK3	Q4JCK3_SULAC	unreviewed	Conserved Archaeal protein	Saci_0046	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	581
AAY81522	Q4J6R0	Q4J6R0_SULAC	unreviewed	Conserved protein	Saci_2236	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	246
CAD26844	Q8NKQ0	MRE11_SULAC	reviewed	DNA double-strand break repair protein Mre11 (EC 3.1.-.-)	mre11 Saci_0052	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	382
AAY80606	Q4J9C4	SYTC_SULAC	reviewed	Threonine--tRNA ligase catalytic subunit (EC 6.1.1.3) (Threonyl-tRNA synthetase catalytic subunit) (ThrRS-cat)	thrS-cat thrS Saci_1261	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	549
AAY81642	Q4J6E0	Q4J6E0_SULAC	unreviewed	Threonyl-tRNA synthetase	Saci_2363	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	387
AAY80866	Q4J8L4	SYP_SULAC	reviewed	Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)	proS Saci_1553	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	483
AAY80897	Q4J8I4	SYS_SULAC	reviewed	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS Saci_1584	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	458
AAY80047	Q4JAY2	SYH_SULAC	reviewed	Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)	hisS Saci_0663	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	428
AAY80229	Q4JAF0	Q4JAF0_SULAC	unreviewed	Glycine--tRNA ligase (EC 6.1.1.14)	glyRS Saci_0862	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	574
AAY80141	Q4JAN8	Q4JAN8_SULAC	unreviewed	Aspartate--tRNA(Asp/Asn) ligase (EC 6.1.1.23) (Aspartyl-tRNA synthetase) (AspRS) (Non-discriminating aspartyl-tRNA synthetase) (ND-AspRS)	aspS Saci_0768	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	428
AAY79494	Q4JCI5	SYK_SULAC	reviewed	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	lysS Saci_0067	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	500
AAY80831	Q4J8P9	SYFA_SULAC	reviewed	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	pheS Saci_1511	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	465
AAY80094	Q4JAT5	RADA_SULAC	reviewed	DNA repair and recombination protein RadA	radA Saci_0715	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	321
AAY80259	Q4JAC1	Q4JAC1_SULAC	unreviewed	Conserved protein	Saci_0896	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	172
AAY80093	Q4JAT6	Q4JAT6_SULAC	unreviewed	HIT family protein	Saci_0714	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	172
AAY80389	Q4JA00	Q4JA00_SULAC	unreviewed	HIT family protein	Saci_1032	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	141
AAY79938	Q4JB91	Q4JB91_SULAC	unreviewed	Conserved Archaeal DHH-related protein	Saci_0542	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	325
AAY79596	Q4JC83	Q4JC83_SULAC	unreviewed	Conserved protein	Saci_0177	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	345
AAY80338	Q4JA42	Q4JA42_SULAC	unreviewed	Conserved Archaeal protein	Saci_0976	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	386
AAY80263	Q4JAB7	Q4JAB7_SULAC	unreviewed	DNA helicase (EC 3.6.4.12)	Saci_0900	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	688
AAY79706	Q4JBX3	Q4JBX3_SULAC	unreviewed	Electron transfer flavoprotein	etfB Saci_0290	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	243
AAY79707	Q4JBX2	Q4JBX2_SULAC	unreviewed	Electron transfer flavoprotein	etfA Saci_0291	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	281
AAY79731	Q4JBU8	Q4JBU8_SULAC	unreviewed	Electron transfer flavoprotein	Saci_0315	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	609
AAY79863	Q4JBG6	CDVB1_SULAC	reviewed	Cell division protein B1 (ESCRT-III homolog)	cdvB1 Saci_0451	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	214
AAY80707	Q4J924	CDVB_SULAC	reviewed	Cell division protein B (ESCRT-III homolog)	cdvB Saci_1373	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	261
AAY80914	Q4J8G7	CDVB3_SULAC	reviewed	Cell division protein B3 (ESCRT-III homolog)	cdvB3 Saci_1601	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	169
AAY79956	Q4JB73	AMZA_SULAC	reviewed	Archaemetzincin (EC 3.4.-.-)	amzA Saci_0564	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	177
AAY80818	Q4J8R2	Q4J8R2_SULAC	unreviewed	Endonuclease III (EC 4.2.99.18)	Saci_1497	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	223
AAY80608	Q4J9C2	Q4J9C2_SULAC	unreviewed	Endonuclease III related protein	Saci_1264	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	238
AAY80101	Q4JAS8	CDC61_SULAC	reviewed	ORC1-type DNA replication protein 1	cdc6-1 Saci_0722	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	397
AAY80266	Q4JAB4	CDC62_SULAC	reviewed	ORC1-type DNA replication protein 2	cdc6-2 Saci_0903	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	415
AAY80270	Q4JAB0	RFCS_SULAC	reviewed	Replication factor C small subunit (RFC small subunit) (Clamp loader small subunit)	rfcS Saci_0907	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	325
AAY80269	Q4JAB1	RFCL_SULAC	reviewed	Replication factor C large subunit (RFC large subunit) (Clamp loader large subunit)	rfcL Saci_0906	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	437
